The,definite article, to indicate a person or thing that has already been mentioned or seen or is clearly understood from the situation
Blue,adjective, having the color of the clear sky
Groups,noun, a number of people or things that are together or in the same place
Al,abbreviation,Alabama
Easy,adjective, not hard to do  not difficult
Given,adjective," to refer to a particular time, place, etc., that has been, will be, or might be specified"
Files,noun," a device (such as a box, folder, or cabinet) in which documents that you want to keep are stored so that they can be found easily"
Event,noun, something (especially something important or notable) that happens
Release,verb," to allow (a person or animal) to leave a jail, cage, prison, etc.  to set (someone or something) free"
Analysis,noun," a careful study of something to learn about its parts, what they do, and how they are related to each other"
Request,noun, an act of politely or formally asking for something
Fax,noun, a system for sending and receiving printed materials (such as documents and drawings) and photographs using telephone lines
China,noun," a hard white material that is made of baked clay and used to make plates, bowls, etc."
Making,noun, the action or process of producing or making something
Picture,noun," a painting, drawing, or photograph of someone or something"
Needs,verb, to be in a condition or situation in which you must have (something)  to require (something)
Possible,adjective, able to be done
Might,verb, to say that something is possible
Professional,adjective," relating to a job that requires special education, training, or skill"
Yet,adverb, until now  so far
Month,noun, any one of the 12 parts into which the year is divided
Major,adjective, very important
Star,noun, any one of the objects in space that are made of burning gas and that look like points of light in the night sky
Areas,noun, a part or section within a larger place
Future,noun, the period of time that will come after the present time
Space,noun," the amount of an area, room, surface, etc., that is empty or available for use"
Committee,noun, a group of people who are chosen to do a particular job or to make decisions about something
Hand,noun, the body part at the end of your arm that includes your fingers and thumb
Sun,noun, the star that the Earth moves around and that gives the Earth heat and light
Cards,noun," a small piece of stiff paper that is marked with symbols or pictures to show its value, comes in a set, and is used for playing games (such as poker)"
Problems,noun," something that is difficult to deal with  something that is a source of trouble, worry, etc."
London,noun, city in England
Washington,adjective or noun, state of the U.S.
Meeting,noun, a gathering of people for a particular purpose (such as to talk about business)
Become,verb, to begin to be or come to be something specified  to begin to have a specified quality
Interest,noun, a feeling of wanting to learn more about something or to be involved in something
Id,noun,psychology   a part of a person's unconscious mind that relates to basic needs and desires
Child,noun, a young person
Keep,verb," to continue having or holding (something)  to not return, lose, sell, give away, or throw away (something)"
Enter,verb, to go or come into (something)
California,adjective or noun, state of the U.S.
Share,verb, to have or use (something) with others
Similar,adjective, almost the same as someone or something else
Garden,noun,US   an area of ground where plants (such as flowers or vegetables) are grown
Schools,noun, a place where children go to learn
Million,noun," the number 1,000,000"
Added,verb, to put (something) with another thing or group of things
Reference,noun, the act of mentioning something in speech or in writing  the act of referring  to  something or someone
Companies,noun," a business organization that makes, buys, or sells goods or provides services in exchange for money"
Listed,verb," to make a list of (names, things, etc.)"
Baby,noun, a very young child
Learning,noun," the activity or process of gaining knowledge or skill by studying, practicing, being taught, or experiencing something  the activity of someone who learns"
Energy,noun, ability to be active  the physical or mental strength that allows you to do things
Run,verb, to move with your legs at a speed that is faster than walking
Delivery,noun, the act of taking something to a person or place
Net,noun," a device that is used for catching or holding things or for keeping things out of a space and that is made of pieces of string, rope, wire, etc., woven together with spaces in between"
Popular,adjective, liked or enjoyed by many people
Term,noun, a word or phrase that has an exact meaning
Film,noun, a special material that is used for taking photographs
Stories,noun, a description of how something happened
Put,verb, to cause (someone or something) to be in a particular place or position
Computers,noun, an electronic machine that can store and work with large amounts of information
Journal,noun, a book in which you write down your personal experiences and thoughts
Reports,noun, a story in a newspaper or on radio or television that is about something that happened or that gives information about something
Co,abbreviation,any
Try,verb, to make an effort to do something  to attempt to accomplish or complete something
Welcome,interjection, as a friendly greeting to someone who has arrived at a place
Central,adjective, in the middle of something  located in the center of a thing or place
Images,noun," a picture that is produced by a camera, artist, mirror, etc."
President,noun, the head of the government in some countries
Notice,noun, information that tells you or warns you about something that is going to happen
God,noun," the perfect and all-powerful spirit or being that is worshipped especially by Christians, Jews, and Muslims as the one who created and rules the universe"
Original,adjective, happening or existing first or at the beginning
Head,noun," the part of the body containing the brain, eyes, ears, nose, and mouth"
Radio,noun, the system or process that is used for sending and receiving signals through the air without using wires
Until,preposition, up to (a particular time)
Cell,noun," a room in a prison, jail, etc., where prisoners live or are kept"
Color,noun," a quality such as red, blue, green, yellow, etc., that you see when you look at something"
Self,noun, the person that someone normally or truly is
Council,noun," a group of people who are chosen to make rules, laws, or decisions about something"
Away,adverb, from this or that place  in or to another place or direction
Includes,verb, to have (someone or something) as part of a group or total  to contain (someone or something) in a group or as a part of something
Track,noun," a mark left on the ground by a moving animal, person, or vehicle"
Australia,adjective or noun, continent southeast of Asia
Discussion,noun, the act of talking about something with another person or a group of people  a conversation about something
Archive,noun, a place in which public records or historical materials (such as documents) are kept  also   the material that is stored in an archive
Once,adverb, one time only
Others,preposition, in or through (a group of people or things)
Entertainment,noun," amusement or pleasure that comes from watching a performer, playing a game, etc."
Agreement,noun, the act of agreeing
Format,noun," the form, design, or arrangement of something (such as a book, magazine, or television or radio program)"
Least,adjective, smallest in amount or degree
Society,noun," people in general thought of as living together in organized communities with shared laws, traditions, and values"
Months,noun, any one of the 12 parts into which the year is divided
Log,noun," a long, heavy section of a tree that has fallen or been cut down"
Safety,noun, freedom from harm or danger  the state of being safe
Friends,noun, a person who you like and enjoy being with
Sure,adjective, not having any doubt about something  convinced or certain
Faq,abbreviation,Frequently asked question; frequently asked questions
Trade,noun," the activity or process of buying, selling, or exchanging goods or services"
Edition,noun, a particular version of a book
Cars,noun, a vehicle that has four wheels and an engine and that is used for carrying passengers on roads
Messages,noun, a piece of information that is sent or given to someone
Marketing,noun," the activities that are involved in making people aware of a company's products, making sure that the products are available to be bought, etc."
Tell,verb, to say or write (something) to (someone)
Further,adverb, to or at a more distant place or time
Updated,verb, to change (something) by including the most recent information
Association,noun," an organized group of people who have the same interest, job, etc."
Able,adjective," having the power, skill, money, etc., that is needed to do something"
Having,verb," to own, use, or hold (something)"
Provides,verb, to make (something) available  to supply (something that is wanted or needed)
Fun,noun, someone or something that is amusing or enjoyable  an enjoyable experience or person
Already,adverb, before this time  before now  before that time
Green,adjective, having the color of growing grass
Studies,noun," the activity or process of learning about something by reading, memorizing facts, attending school, etc."
Close,verb," to move (a door, window, etc.) so that things cannot pass through an opening"
Common,adjective, belonging to or shared by two or more people or groups
Drive,verb," to direct the movement of (a car, truck, bus, etc.)"
Specific,adjective, special or particular
Several,adjective, more than two but not very many
Gold,noun, a soft yellow metal that is very valuable and that is used especially in jewelry
Feb,abbreviation,February
Living,adjective, not dead  having life
Sep,abbreviation,September
Collection,noun, the act or process of getting things from different places and bringing them together
Called,verb, to speak in a loud voice
Short,adjective, extending a small distance from one end to the other end  having little length  not long
Arts,noun, something that is created with imagination and skill and that is beautiful or that expresses important ideas or feelings
Lot,noun,chiefly US   a small piece of land that is or could be used for building something or for some other purpose
Ask,verb, to say or write something to someone as a way of gaining information  to request an answer to a question
Display,verb, to put (something) where people can see it
Limited,adjective," not high or great in number, amount, etc."
Powered,adjective, operated by a specified kind of power
Solutions,noun, something that is used or done to deal with and end a problem  something that solves a problem
Means,noun, a way of doing something or of achieving a desired result
Director,noun, a person who manages an organized group of people or a part of an organization (such as a school or business)
Daily,adjective," happening, done, made, used, or existing every day"
Beach,noun, an area covered with sand or small rocks that is next to an ocean or lake
Past,adjective," having existed in a time before the present  from, done, or used in an earlier time"
Natural,adjective, existing in nature and not made or caused by people  coming from nature
Whether,conjunction, if it is or was true that
Due,adjective, required or expected to happen  expected to be in a particular place at a particular time
Electronics,noun,"US   devices (such as televisions, radios, and computers) that operate using many small electrical parts"
Five,noun, the number 5
Upon,preposition,
Period,noun, a length of time during which a series of events or an action takes place or is completed
Planning,noun, the act or process of making a plan to achieve or do something
Database,noun, a collection of pieces of information that is organized and used on a computer
Says,verb, to use your voice to express (something) with words
Official,adjective, of or relating to the job or work of someone in a position of authority
Weather,noun," the state of the air and atmosphere at a particular time and place  the temperature and other outside conditions (such as rain, cloudiness, etc.) at a particular time and place"
Mar,verb, to ruin the beauty or perfection of (something)  to hurt or damage the good condition of (something)
Land,noun, the solid part of the surface of the Earth  an area of ground
Average,noun, a number that is calculated by adding quantities together and then dividing the total by the number of quantities
Technical,adjective," relating to the practical use of machines or science in industry, medicine, etc."
Window,noun," an opening in a wall, door, etc., that usually contains a sheet of glass"
France,adjective or noun, country in Europe
Pro,noun, an argument for something  a reason to do something
Region,noun," a part of a country, of the world, etc., that is different or separate from other parts in some way"
Island,noun, an area of land that is surrounded by water
Record,noun, an official written document that gives proof of something or tells about past events
Direct,verb," to cause (someone or something) to turn, move, or point in a particular way"
Conference,noun, a formal meeting in which many people gather in order to talk about ideas or problems related to a particular topic (such as medicine or business) usually for several days
Environment,noun," the conditions that surround someone or something  the conditions and influences that affect the growth, health, progress, etc., of someone or something"
Records,noun, an official written document that gives proof of something or tells about past events
St,abbreviation,British  stone
District,noun," an area or section of a country, city, or town: such as"
Calendar,noun," a document, chart, etc., that shows the days, weeks, and months of a year"
Costs,noun, the price of something  the amount of money that is needed to pay for or buy something
Style,noun," a particular way in which something is done, created, or performed"
Url,noun,computers   the letters and symbols (such as http://www.Merriam-Webster.com) that are the address of a Web site
Front,noun, the forward part or surface of something  the part of something that is seen first
Statement,noun, something that you say or write in a formal or official way  something that is stated
Update,verb, to change (something) by including the most recent information
Parts,noun," one of the pieces, sections, qualities, etc., that make or form something"
Aug,abbreviation,August
Ever,adverb, at any time
Downloads,verb,"computers   to move or copy (a file, program, etc.) from a usually larger computer system to another computer or device"
Early,adverb," at or near the beginning of a period of time or a process, activity, series, etc."
Miles,adverb,"chiefly British ,  informal   very much"
Sound,noun, something that is heard
Resource,noun, something that a country has and can use to increase its wealth
Present,noun, something that you give to someone especially as a way of showing affection or thanks
Applications,noun," a formal and usually written request for something (such as a job, admission to a school, a loan, etc.)"
Either,adjective, one and the other of two
Ago,adverb, in the past  before the present time  before now
Document,noun, an official paper that gives information about something or that is used as proof of something
Word,noun, a sound or combination of sounds that has a meaning and is spoken or written
Works,verb, to have a job
Material,noun, a substance from which something is made or can be made
Bill,noun, a document that says how much money you owe for something you have bought or used
Apr,abbreviation,April
Talk,verb," to say words in order to express your thoughts, feelings, opinions, etc., to someone"
Federal,adjective," of or relating to a form of government in which power is shared between a central government and individual states, provinces, etc."
Hosting,verb," to be the host for (a social event, a group of people, etc.)"
Rules,noun," a statement that tells you what is or is not allowed in a particular game, situation, etc."
Final,adjective, happening or coming at the end
Adult,noun, a fully grown person or animal
Tickets,noun," a piece of paper that allows you to see a show, participate in an event, travel on a vehicle, etc."
Thing,noun, an object whose name is not known or stated
Requirements,noun, something that is needed or that must be done
Via,preposition, by going through (a particular place)  by way of (a particular place)
Cheap,adjective, not costing a lot of money
Kids,noun, a son or daughter
Finance,noun, the way in which money is used and handled  especially   the way in which large amounts of money are used and handled by governments and companies
True,adjective, agreeing with the facts  not false
Minutes,noun, a unit of time equal to 60 seconds  one 60th of an hour
Else,adverb, in a different or additional manner or place  at a different or additional time
Mark,noun," a small area on the surface of something that is dirty, damaged, etc."
Third,adjective, occupying the number three position in a series
Rock,verb, to move (someone or something) back and forth or from side to side
Gifts,noun, something that is given to another person or to a group or organization
Europe,adjective or noun, continent of the Eastern Hemisphere
Reading,noun, the act of reading something
Topics,noun, someone or something that people talk or write about
Bad,adjective, low or poor in quality
Individual,adjective," of, relating to, or existing as just one member or part of a larger group"
Tips,verb, to turn or move something so that it is not straight or level  to cause something to lean or slant
Plus,adjective, having a value that is above zero
Auto,noun,chiefly US
Cover,verb," to put something over, on top of, or in front of (something else) especially in order to protect, hide, or close it"
Usually,adverb, to describe what happens or exists most of the time or in most cases
Edit,verb," to prepare (something written) to be published or used  to make changes, correct mistakes, etc., in (something written)"
Together,adverb, with each other
Videos,noun," a movie, television show, event, etc., that has been recorded onto a videocassette, DVD, etc., so that it can be watched on a television or computer screen"
Percent,noun, one part in a hundred  an amount that is equal to one one-hundredth of something
Fast,adjective, moving or able to move quickly
Function,noun, the special purpose or activity for which a thing exists or is used
Fact,noun, something that truly exists or happens  something that has actual existence
Unit,noun," a single thing, person, or group that is a part of something larger"
Getting,verb, to obtain (something): such as
Global,adjective, involving the entire world
Tech,noun,informal
Meet,verb, to see and speak to (someone) for the first time  to be introduced to or become acquainted with (someone)
Far,adverb, at or to a great distance in space or time
Economic,adjective," relating to an economy  relating to the process or system by which goods and services are produced, sold, and bought"
Player,noun, a person who plays a sport or game
Projects,noun, a planned piece of work that has a specific purpose (such as to find information or to make something new) and that usually requires a lot of time
Lyrics,noun, the words of a song
Often,adverb, many times  on many occasions
Subscribe,verb, to pay money to get a publication or service regularly
Submit,verb," to give (a document, proposal, piece of writing, etc.) to someone so that it can be considered or approved"
Germany,adjective or noun, country in Europe
Amount,noun, a quantity of something
Watch,verb, to look at (someone or something) for an amount of time and pay attention to what is happening
Included,adjective, to say that someone or something is part of a group or total
Feel,verb," to be aware of (something that affects you physically, such as pain, heat, or an object touching your body)"
Though,conjunction,
Bank,noun," a business where people keep their money, borrow money, etc., or the building where such a business operates"
Risk,noun, the possibility that something bad or unpleasant (such as an injury or a loss) will happen
Thanks,noun," a good feeling that you have towards someone who has helped you, given something to you, etc."
Everything,pronoun, every thing there is  all that exists
Deals,verb, to give cards to the players in a card game
Various,adjective," to refer to several different or many different things, people, etc."
Words,noun, a sound or combination of sounds that has a meaning and is spoken or written
Production,noun, the process of making or growing something for sale or use
Commercial,adjective, related to or used in the buying and selling of goods and services
Weight,noun, a measurement that indicates how heavy a person or thing is
Town,noun, a place where people live that is larger than a village but smaller than a city
Heart,noun, the organ in your chest that pumps blood through your veins and arteries
Advertising,noun, published or broadcast advertisements
Received,adjective,formal   widely accepted
Choose,verb, to decide that a particular person or thing is the one that you want
Treatment,noun, the way that you think of and act toward someone or something
Newsletter,noun, a short written report that tells about the recent activities of an organization and that is sent to members of the organization
Archives,noun, a place in which public records or historical materials (such as documents) are kept  also   the material that is stored in an archive
Points,noun, an idea that you try to make other people accept or understand
Knowledge,noun," information, understanding, or skill that you get from experience or education"
Magazine,noun," a type of thin book with a paper cover that contains stories, essays, pictures, etc., and that is usually published every week or month"
Error,noun, something that is not correct  a wrong action or statement
Camera,noun," a device that is used for taking photographs or for making movies, television programs, etc."
Jun,abbreviation, June
Girl,noun, a female child
Currently,adjective, happening or existing now  belonging to or existing in the present time
Construction,noun, the act or process of building something (such as a house or road)
Toys,noun, something a child plays with
Registered,adjective, having the owner's name entered in an official list or register
Clear,adjective, very obvious  not causing or allowing doubt
Golf,noun, an outdoor game in which players use special clubs (called golf clubs) to try to hit a small ball with as few strokes as possible into each of 9 or 18 holes
Receive,verb, to get or be given (something)
Domain,noun, the land that a ruler or a government controls
Methods,noun, a way of doing something
Chapter,noun, one of the main sections of a book
Makes,verb," to build, create, or produce (something) by work or effort"
Protection,noun," the state of being kept from harm, loss, etc.  the state of being protected"
Policies,noun, an officially accepted set of rules or ideas about what should be done
Loan,noun, an amount of money that is given to someone for a period of time with a promise that it will be paid back  an amount of money that is borrowed
Wide,adjective, extending a great distance from one side to the other  not narrow
Beauty,noun, the quality of being physically attractive
Manager,noun," someone who is in charge of a business, department, etc."
India,adjective or noun, country in Asia
Position,noun, the place where someone or something is in relation to other people or things
Sort,noun, a group of people or things that have some shared quality  a particular kind or type of person or thing
Listings,noun, a printed list
Models,noun, a usually small copy of something
Half,noun, one of two equal or nearly equal parts into which something can be divided
Cases,noun, a situation or occurrence that is an instance or example of something
Step,noun, a movement made by lifting your foot and putting it down in a different place
Engineering,noun, the work of designing and creating large structures (such as roads and bridges) or new products or systems by using scientific methods
Florida,adjective or noun, state of the U.S.
Simple,adjective, not hard to understand or do
Quick,adjective, done or happening in a short amount of time
None,pronoun, not any of a group of people or things  no amount or part of something
Wireless,adjective, not using wires to send and receive electronic signals  sending and receiving electronic signals by using radio waves
License,noun," an official document, card, etc., that gives you permission to do, use, or have something"
Friday,noun, the day of the week between Thursday and Saturday
Lake,noun, a large area of water that is surrounded by land
Whole,adjective, complete or full  not lacking or leaving out any part
Annual,adjective, happening once a year
Published,verb," to prepare and produce (a book, magazine, etc.) for sale"
Later,adjective," happening near the end of a process, activity, series, life, etc."
Basic,adjective, forming or relating to the most important part of something
Shows,verb, to cause or allow (something) to be seen
Corporate,adjective, involving or associated with a corporation
Church,noun, a building that is used for Christian religious services
Method,noun, a way of doing something
Purchase,verb,"formal   to buy (property, goods, etc.)  to get (something) by paying money for it"
Customers,noun, someone who buys goods or services from a business
Active,adjective, doing things that require physical movement and energy
Response,noun, something that is said or written as a reply to something
Practice,verb, to do something again and again in order to become better at it
Hardware,noun, things (such as tools or parts of machines) that are made of metal
Figure,noun, a symbol that represents a number
Materials,noun, a substance from which something is made or can be made
Fire,noun, the light and heat and especially the flame produced by burning
Holiday,noun, a special day of celebration  a day when most people do not have to work
Chat,verb, to talk with someone in a casual way
Enough,adjective, equal to what is needed
Designed,verb," to plan and make decisions about (something that is being built or created)  to create the plans, drawings, etc., that show how (something) will be made"
Along,preposition, in a line matching the length or direction of (something)
Among,preposition, in or through (a group of people or things)
Death,noun, the end of life  the time when someone or something dies
Writing,noun," the activity or work of writing books, poems, stories, etc."
Speed,noun, the rate at which someone or something moves or travels
Html,noun, a computer language that is used to create documents or Web sites on the Internet
Countries,noun, an area of land that is controlled by its own government
Loss,noun, failure to keep or to continue to have something
Face,noun," the front part of the head that has the eyes, nose, and mouth on it"
Brand,noun, a category of products that are all made by a particular company and all have a particular name
Discount,noun, an amount taken off a regular price  a price reduction
Higher,adjective, far above the ground
Effects,noun," a change that results when something is done or happens  an event, condition, or state of affairs that is produced by a cause"
Created,verb, to make or produce (something)  to cause (something new) to exist
Remember,verb, to have or keep an image or idea in your mind of (something or someone from the past)  to think of (something or someone from the past) again
Standards,noun," a level of quality, achievement, etc., that is considered acceptable or desirable"
Oil,noun," a thick, black liquid that comes from the ground and that is used in making various products (such as gasoline)"
Bit,noun, a small piece of something
Yellow,adjective, having the color of the sun or of ripe lemons
Political,adjective, of or relating to politics or government
Increase,verb," to become larger or greater in size, amount, number, etc."
Advertise,verb, to make the public aware of something (such as a product) that is being sold
Kingdom,noun, a country whose ruler is a king or queen
Base,noun, the bottom or lowest part of something  the part on which something rests or is supported
Near,adverb, close to someone or something in distance
Environmental,noun," the conditions that surround someone or something  the conditions and influences that affect the growth, health, progress, etc., of someone or something"
Stuff,noun," materials, supplies, or equipment"
French,adjective," of or relating to France, its people, or their language"
Storage,noun, space where you put things when they are not being used
Oh,interjection," to express surprise, happiness, disappointment, or sadness"
Japan,adjective or noun, island country in Asia
Doing,noun, the act of making something happen through your own action
Loans,noun, an amount of money that is given to someone for a period of time with a promise that it will be paid back  an amount of money that is borrowed
Shoes,noun, an outer covering for your foot that usually has a stiff bottom part called a sole with a thicker part called a heel attached to it and an upper part that covers part or all of the top of your foot
Entry,noun, the act of entering something
Stay,verb, to continue to be in the same place or with the same person or group for a period of time
Nature,noun," the physical world and everything in it (such as plants, animals, mountains, oceans, stars, etc.) that is not made by people"
Orders,noun, a statement made by a person with authority that tells someone to do something  an instruction or direction that must be obeyed
Availability,adjective, easy or possible to get or use
Africa,adjective or noun, continent south of the Mediterranean Sea
Summary,noun, a brief statement that gives the most important information about something
Turn,verb, to move around a central point
Mean,verb, to have (a particular meaning)
Growth,noun, the process of growing: such as
Notes,noun, a short piece of writing that is used to help someone remember something
Agency,noun, a business that provides a particular service
King,noun, a male ruler of a country who usually inherits his position and rules for life
Monday,noun, the day of the week between Sunday and Tuesday
European,noun," a person born, raised, or living in Europe  also   a native or resident of the continent of Europe rather than Britain"
Activity,noun, the state of being active  behavior or actions of a particular kind
Copy,noun, something that is or looks exactly or almost exactly like something else  a version of something that is identical or almost identical to the original
Although,conjunction, despite the fact that
Drug,noun, a substance that is used as a medicine
Pics,noun,
Western,adjective, located in or toward the west
Income,noun," money that is earned from work, investments, business, etc."
Force,noun," physical strength, power, or effect"
Cash,noun, money in the form of coins and bills
Employment,noun, the act of employing someone or something: such as
Overall,adverb, with everyone or everything included
Bay,noun, a large area of water that is part of an ocean or lake and partly surrounded by land
River,noun," a large natural flow of water that crosses an area of land and goes into an ocean, a lake, etc."
Commission,noun, a group of people who have been given the official job of finding information about something or controlling something
Ad,noun,
Package,noun,chiefly US   a box or large envelope that is sent or delivered usually through the mail or by another delivery service
Contents,noun,contents    the things that are in something
Players,noun, a person who plays a sport or game
Engine,noun, a machine that changes energy (such as heat from burning fuel) into mechanical motion
Port,noun, a town or city where ships stop to load and unload cargo
Album,noun," a book with blank pages in which you put a collection of photographs, stamps, etc."
Regional,noun," a part of a country, of the world, etc., that is different or separate from other parts in some way"
Stop,verb," to not move, walk, etc., after doing so before"
Supplies,noun, the amount of something that is available to be used
Started,verb, to do the first part of something  to begin doing something
Administration,noun," the activities that relate to running a company, school, or other organization"
Bar,noun, a building or room where alcoholic drinks and sometimes food are served
Institute,noun, an organization created for a particular purpose (such as research or education)
Views,noun, an opinion or way of thinking about something
Plans,noun, a set of actions that have been thought of as a way to do or achieve something
Double,adjective, made of two parts that are similar or exactly the same
